
ITEM	PRICE	SAVINGS	DESCRIPTION
Canadian Lobster Tails	4.99	save 1.00	3 - 4 oz, frozen or previously frozen, while supplies last
Sweet Corn Tray	1.99	save up to 3.00	product of Ontario, Canada no1, Organic Whole or Mini Bella Mushrooms, product of Ontario, 227 g, Foil Potatoes, pkg of 4, product of Canada, Canada no 1
Sterling Silver Top Sirloin Steaks	6.99	save 5.00/lb	super saver size, cut from the top tier of Canadian AAA or USDA choice grade beef, 15.41/kg
T Bone Steaks	7.99	save 9.00/lb	super saver size, cut from Canadian AA or USDA select grade beef, 17.61/kg
Compliments Hamburger Or Hot Dog Buns	1.99	save 80¢	pkg of 8
Strawberries	2.49	save up to 1.50	454 g or Raspberries, product of USA, no 1 grade, 170 g
Coca Cola Or Pepsi Soft Drinks	2.49	save up to 3.00	6 x 710 mL, limit of 4
Schneider’s Juicy Jumbo Wieners	3.99	save 2.00	Grill'ems, Chicken Sausage or Country Natural Smoked Sausage, selected, 300 - 450 g
Real Dairy Ice Cream Or Confectionery Frozen Dessert	3.99	save up to 3.60	1.5 L, Nestlé Premium Novelties, pkg of 4 - 12, Welch's Frozen Fruit, 600 g or Sensations by Compliments Ice Cream, 500 mL
Kraft Singles Slices	2.99	save up to 3.20	450 g, Kraft Philadelphia Cream Cheese, 227 - 250 g, Heinz Ketchup, 750 - 1 L or Bick's Pickles, 1 L or Vlasic Pickles, 1 L
Van Houtte Or Timothy’s K Cups	5.99	save up to 4.00	selected
Aunt Jemima Pancake Mix	2.99	save up to 2.60	905 g, Syrup, 750 mL, Tropicana Pure Premium Orange Juice, 1.75 L or Farmstand, 1.36 L
Christie Ritz Or Snack Crackers	5.0	save up to 3.97 on 3	selected, 140 - 454 g
The Canadian Chuck Poutine Burger			made fresh in-store daily, 142 g
The Canadian Chuck Bacon And Cheddar Burger	2.49	everyday savings	made fresh in-store daily, 142 g
The Canadian Chuck Steak & Onion Rimmed Burger			made fresh in-store daily, 142 g
The Canadian Chuck Jalapeno Cheddar Burger			made fresh in-store daily, 142 g
Bick's Pickled Pepper Rings	2.49	save up to 1.80	750 mL
Bick's Relish	1.49	save up to 80¢	375 mL
Bick's Sandwich Savers Or Crunch'ems	2.99	save up to 56¢	500 mL
French's Prepared Mustard	1.99	save up to 1.00	400 mL
Frank's Red Hot	3.99	save up to 1.00	354 mL
Hellmann's Mayonnaise	3.99	save up to 1.90	750 - 890 mL
Weber Seasoning	3.99	save up to 2.00	142 - 164 g
Guy Fieri Bbq Sauce	3.99	your choice	494 mL
Wing Sauce	3.99	your choice	354 mL
Keg Sauce Stubb's	3.99	your choice	335 mL
Stubb's Bbq Sauce	3.99	your choice	451 mL
Sweet Baby Ray's Sauce	1.99	save up to 1.06	425 mL
Hp Sauce Lea & Perrins	3.99	your choice	400 mL
Lea & Perrins Worcestershire Sauce	3.99	your choice	284 mL
Johnsonville Smoked Sausage	10.0	save up to 7.97 on 3	375 g
Popcorn Indiana Kettlecorn	3.49	save up to 50¢	127 - 220 g
Popchips	5.0	save up to 98¢ on 2	85 g, Compliments Party mix, Cheese Sticks or Pretzel Sticks, 240 - 400 g
Christie Cookies	5.0	save up to 2.98 on 2	265 - 300 g
Compliments Assorted Twin Ice Pops	3.49	save up to 1.50	pkg of 24
Lay's Family Size Chips	5.0	save up to 2.58 on 2	255 g, Lay's Kettle Cooked Chips, 220 g, Tostitos, 220 - 320 g or Salsa, 400 - 430 mL
Heluva Good Dip	2.99	save 1.00	250 g BUY 2 EARN +4 reward miles
Grace Coconut Water	0.99	save up to 60¢	500 mL
Simply Orange Juice Or Lemonade	4.99	save up to 2.40	2.63 L
Compliments Lemonade Or Iced Tea	2.99	save up to 1.50	3.78 L, Mott's Garden Cocktail, 1.89 L or Mott's Clamato, 1.89 L
